date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:30	228395/228395	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Feb%202023%2016:22:55%20GMT	https://cursosfree7.blogspot.com/search/label/jogos	C:/Meus%20Sites/s/cursosfree7.blogspot.com/search/label/jogos.html	(from https://cursosfree7.blogspot.com/)
14:04:31	228459/228459	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Feb%202023%2016:22:55%20GMT	https://cursosfree7.blogspot.com/search/label/Marcador1	C:/Meus%20Sites/s/cursosfree7.blogspot.com/search/label/Marcador1.html	(from https://cursosfree7.blogspot.com/)
14:04:32	32310/32310	---M-Z	200	added ('OK')	image/jpeg	etag:%221c03b0d952e2abd99a3c6b8e5223b2a5411fb850%22	https://telegra.ph/file/dc0a23557ca6a2937618f.jpg	C:/Meus%20Sites/s/telegra.ph/file/dc0a23557ca6a2937618f.jpg	(from https://cursosfree7.blogspot.com/)
14:04:32	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Meus%20Sites/s/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://cursosfree7.blogspot.com/)
14:04:32	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ba81384ab53666cf7f855096e5bc3b0c%22	https://connect.facebook.net/en_US/sdk.js	C:/Meus%20Sites/s/connect.facebook.net/en_US/sdk.js	(from https://cursosfree7.blogspot.com/)
14:04:33	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.14.delayed	(from https://cursosfree7.blogspot.com/search)
14:04:34	156570/156570	---M--	200	added ('OK')	text/javascript	date:Tue,%2007%20Feb%202023%2020:16:52%20GMT	https://www.blogger.com/static/v1/widgets/4056224860-widgets.js	C:/Meus%20Sites/s/www.blogger.com/static/v1/widgets/4056224860-widgets.js	(from https://cursosfree7.blogspot.com/)
14:04:34	0/-1	---M--	302	error ('')			http://commentid.com/bloggerfonts.js	C:/Meus%20Sites/s/commentid.com/bloggerfonts.16.delayed	(from https://cursosfree7.blogspot.com/2023/02/curso-de-dropship-f15d-luciano-augusto.html)
14:04:34	1/1	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Feb%202023%2017:04:34%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=2590024455880678357&zx=a58e9001-163f-4e03-b9b3-836d0b8e955d	C:/Meus%20Sites/s/www.blogger.com/dyn-css/authorization6e4d.css	(from https://cursosfree7.blogspot.com/2023/02/curso-de-dropship-f15d-luciano-augusto.html)
14:04:35	81056/81056	---M--	200	added ('OK')	image/jpeg	etag:%22v367e%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgBKby9xQndM6TzgmwCNfwdcM49p4BdKEPsXx28qXVPW8Yxd_M6qyygtN8U9mm0YwId09gKcxZnt1ipN-VS-vXm0HqBfHe8huNBseZTD0QhFLRG46S_4-mYBmBQykHf4cu-OybjGKH0HQ6dPMJOewEy2G2EyFkUVKnaiWjV5aRCufDWzUwQt86VqAqznQ/s1280/photo_2021-12-31_00-38-43.jpg	C:/Meus%20Sites/s/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgBKby9xQndM6TzgmwCNfwdcM49p4BdKEPsXx28qXV/s1280/photo_2021-12-31_00-38-43.jpg	(from https://cursosfree7.blogspot.com/2023/02/curso-de-dropship-f15d-luciano-augusto.html)
